candidate,n_trajectories,balanced_accuracy,macro_f1,min_class_recall,class_mae,quadratic_weighted_kappa,unsafe_early_stop_rate,severe_unsafe_stop_rate,quality_failure_rate,exact_round_accuracy,within_one_round_rate,mean_absolute_round_error,mean_excess_rounds,mean_premature_rounds,mean_rounds_saved,compute_reduction_fraction,mean_qv_loss_vs_r5,mean_busco_loss_vs_r5,selected_r1_fraction,selected_r2_fraction,selected_r3_fraction,selected_r4_fraction,selected_r5_fraction
always_r1,127,0.3333333333333333,0.10222222222222221,0.0,1.3779527559055118,0.0,0.9763779527559056,0.8188976377952756,0.2047244094488189,0.023622047244094488,0.18110236220472442,3.0,0.0,3.0,4.0,0.8,-0.017659558934960993,-0.07795275590551214,1.0,0.0,0.0,0.0,0.0
always_r5,127,0.3333333333333333,0.23905723905723905,0.0,0.6220472440944882,0.0,0.0,0.0,0.0,0.5590551181102362,0.6456692913385826,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
legacy_full_retrospective,127,0.3340446720728411,0.26062378167641326,0.0,0.6299212598425197,0.04420021502807314,0.03937007874015748,0.03937007874015748,0.0,0.5433070866141733,0.6456692913385826,1.0236220472440944,0.9212598425196851,0.10236220472440945,0.18110236220472442,0.03622047244094488,-0.0010535597334584003,-0.013385826771653566,0.031496062992125984,0.007874015748031496,0.007874015748031496,0.015748031496062992,0.937007874015748
light_core_prospective,127,0.3445539287547861,0.2944309334801695,0.043478260869565216,0.6456692913385826,0.04323133982382943,0.07874015748031496,0.05511811023622047,0.031496062992125984,0.5354330708661418,0.6299212598425197,1.0708661417322836,0.889763779527559,0.18110236220472442,0.29133858267716534,0.05826771653543307,-0.0005571149484960313,0.0614173228346457,0.047244094488188976,0.015748031496062992,0.015748031496062992,0.023622047244094488,0.8976377952755905
light_fasta_prospective,127,0.32975808297302484,0.2751608751608752,0.030303030303030304,0.6692913385826772,0.05040155081694819,0.10236220472440945,0.09448818897637795,0.031496062992125984,0.5196850393700787,0.5984251968503937,1.1574803149606299,0.8661417322834646,0.29133858267716534,0.4251968503937008,0.08503937007874016,-0.0008615617932740853,0.040157480314960414,0.09448818897637795,0.0,0.015748031496062992,0.015748031496062992,0.8740157480314961
r1_core_only,127,0.3286384976525822,0.23931623931623933,0.0,0.6377952755905512,0.004133487325998386,0.023622047244094488,0.023622047244094488,0.0,0.5511811023622047,0.6299212598425197,1.047244094488189,0.9763779527559056,0.07086614173228346,0.09448818897637795,0.01889763779527559,-0.00023092128282816012,0.0070866141732283915,0.023622047244094488,0.0,0.0,0.0,0.9763779527559056
