candidate,confidence_threshold,n_trajectories,balanced_accuracy,macro_f1,min_class_recall,class_mae,quadratic_weighted_kappa,unsafe_early_stop_rate,severe_unsafe_stop_rate,quality_failure_rate,exact_round_accuracy,within_one_round_rate,mean_absolute_round_error,mean_excess_rounds,mean_premature_rounds,mean_rounds_saved,compute_reduction_fraction,mean_qv_loss_vs_r5,mean_busco_loss_vs_r5,selected_r1_fraction,selected_r2_fraction,selected_r3_fraction,selected_r4_fraction,selected_r5_fraction
legacy_full_retrospective,0.4,127,0.5758008746373718,0.5728299478299479,0.30303030303030304,0.4251968503937008,0.5194662949317932,0.1732283464566929,0.13385826771653545,0.03937007874015748,0.6141732283464567,0.7559055118110236,0.7637795275590551,0.3779527559055118,0.3858267716535433,1.0078740157480315,0.2015748031496063,-0.0016501412696684962,-0.04960629921259824,0.14960629921259844,0.047244094488188976,0.11811023622047244,0.031496062992125984,0.6535433070866141
light_core_prospective,0.4,127,0.37709612969870165,0.3712967919794022,0.13043478260869565,0.6535433070866141,0.16373723233265935,0.23622047244094488,0.1968503937007874,0.03937007874015748,0.48031496062992124,0.6141732283464567,1.1811023622047243,0.6062992125984252,0.5748031496062992,0.968503937007874,0.1937007874015748,-0.0021355209081356406,-0.06220472440944909,0.16535433070866143,0.0,0.14960629921259844,0.007874015748031496,0.6771653543307087
light_fasta_prospective,0.4,127,0.4070032845293103,0.3930702066295287,0.18181818181818182,0.7244094488188977,0.17614199477430392,0.36220472440944884,0.2440944881889764,0.08661417322834646,0.4015748031496063,0.5826771653543307,1.3858267716535433,0.5118110236220472,0.8740157480314961,1.3622047244094488,0.27244094488188975,-0.0038081756844404306,-0.08503937007874064,0.25984251968503935,0.023622047244094488,0.10236220472440945,0.047244094488188976,0.5669291338582677
r1_core_only,0.4,127,0.3803682879004373,0.3650056798992969,0.13043478260869565,0.6220472440944882,0.194981402902195,0.18110236220472442,0.14960629921259844,0.03937007874015748,0.5118110236220472,0.6535433070866141,1.094488188976378,0.6377952755905512,0.4566929133858268,0.8188976377952756,0.16377952755905512,-0.0010708589467088936,-0.014960629921259998,0.14960629921259844,0.0,0.11023622047244094,0.0,0.7401574803149606
legacy_full_retrospective,0.5,127,0.44660938843425063,0.4272030651340996,0.12121212121212122,0.5196850393700787,0.3288235915865131,0.09448818897637795,0.08661417322834646,0.031496062992125984,0.5984251968503937,0.7007874015748031,0.8976377952755905,0.6535433070866141,0.2440944881889764,0.5905511811023622,0.11811023622047243,-0.0014250394447981548,-0.002362204724409482,0.09448818897637795,0.03937007874015748,0.03937007874015748,0.015748031496062992,0.8110236220472441
light_core_prospective,0.5,127,0.35107968849548765,0.330012297779838,0.08695652173913043,0.6614173228346457,0.12774725274725274,0.18110236220472442,0.15748031496062992,0.03937007874015748,0.49606299212598426,0.6220472440944882,1.1574803149606299,0.6929133858267716,0.4645669291338583,0.7716535433070866,0.15433070866141732,-0.0018980747785766875,-0.02204724409448856,0.14173228346456693,0.0,0.10236220472440945,0.0,0.7559055118110236
light_fasta_prospective,0.5,127,0.3221993356714728,0.30012389100917125,0.08695652173913043,0.7244094488188977,0.04351464435146435,0.1968503937007874,0.15748031496062992,0.05511811023622047,0.4566929133858268,0.5748031496062992,1.2755905511811023,0.7716535433070866,0.5039370078740157,0.7322834645669292,0.14645669291338584,-0.0023806365274976742,0.05984251968503885,0.14173228346456693,0.007874015748031496,0.03937007874015748,0.06299212598425197,0.7480314960629921
r1_core_only,0.5,127,0.32036841161152246,0.2710670912918104,0.030303030303030304,0.6850393700787402,0.05321869728464934,0.12598425196850394,0.11023622047244094,0.031496062992125984,0.49606299212598426,0.6062992125984252,1.188976377952756,0.8267716535433071,0.36220472440944884,0.5354330708661418,0.10708661417322836,-0.0009608151264019967,-0.007086614173228559,0.11023622047244094,0.0,0.047244094488188976,0.0,0.84251968503937
legacy_full_retrospective,0.6,127,0.3340446720728411,0.26062378167641326,0.0,0.6299212598425197,0.04420021502807314,0.03937007874015748,0.03937007874015748,0.0,0.5433070866141733,0.6456692913385826,1.0236220472440944,0.9212598425196851,0.10236220472440945,0.18110236220472442,0.03622047244094488,-0.0010535597334584003,-0.013385826771653566,0.031496062992125984,0.007874015748031496,0.007874015748031496,0.015748031496062992,0.937007874015748
light_core_prospective,0.6,127,0.3445539287547861,0.2944309334801695,0.043478260869565216,0.6456692913385826,0.04323133982382943,0.07874015748031496,0.05511811023622047,0.031496062992125984,0.5354330708661418,0.6299212598425197,1.0708661417322836,0.889763779527559,0.18110236220472442,0.29133858267716534,0.05826771653543307,-0.0005571149484960313,0.0614173228346457,0.047244094488188976,0.015748031496062992,0.015748031496062992,0.023622047244094488,0.8976377952755905
light_fasta_prospective,0.6,127,0.32975808297302484,0.2751608751608752,0.030303030303030304,0.6692913385826772,0.05040155081694819,0.10236220472440945,0.09448818897637795,0.031496062992125984,0.5196850393700787,0.5984251968503937,1.1574803149606299,0.8661417322834646,0.29133858267716534,0.4251968503937008,0.08503937007874016,-0.0008615617932740853,0.040157480314960414,0.09448818897637795,0.0,0.015748031496062992,0.015748031496062992,0.8740157480314961
r1_core_only,0.6,127,0.3286384976525822,0.23931623931623933,0.0,0.6377952755905512,0.004133487325998386,0.023622047244094488,0.023622047244094488,0.0,0.5511811023622047,0.6299212598425197,1.047244094488189,0.9763779527559056,0.07086614173228346,0.09448818897637795,0.01889763779527559,-0.00023092128282816012,0.0070866141732283915,0.023622047244094488,0.0,0.0,0.0,0.9763779527559056
