candidate,fold,n_trajectories,balanced_accuracy,macro_f1,min_class_recall,class_mae,quadratic_weighted_kappa,unsafe_early_stop_rate,severe_unsafe_stop_rate,quality_failure_rate,exact_round_accuracy,within_one_round_rate,mean_absolute_round_error,mean_excess_rounds,mean_premature_rounds,mean_rounds_saved,compute_reduction_fraction,mean_qv_loss_vs_r5,mean_busco_loss_vs_r5,selected_r1_fraction,selected_r2_fraction,selected_r3_fraction,selected_r4_fraction,selected_r5_fraction
always_r1,1,24,0.3333333333333333,0.1149425287356322,0.0,1.3333333333333333,0.0,1.0,0.7916666666666666,0.16666666666666666,0.0,0.20833333333333334,2.9583333333333335,0.0,2.9583333333333335,4.0,0.8,-0.01466631745681594,-0.6166666666666667,1.0,0.0,0.0,0.0,0.0
always_r1,2,28,0.3333333333333333,0.08333333333333333,0.0,1.5,0.0,1.0,0.8571428571428571,0.14285714285714285,0.0,0.14285714285714285,3.2142857142857144,0.0,3.2142857142857144,4.0,0.8,-0.019565708168540055,-0.28571428571428736,1.0,0.0,0.0,0.0,0.0
always_r1,3,24,0.3333333333333333,0.15053763440860216,0.0,1.125,0.0,0.9583333333333334,0.7083333333333334,0.16666666666666666,0.041666666666666664,0.2916666666666667,2.5833333333333335,0.0,2.5833333333333335,4.0,0.8,-0.007693242259847392,0.11250000000000011,1.0,0.0,0.0,0.0,0.0
always_r1,4,24,0.3333333333333333,0.05128205128205129,0.0,1.4166666666666667,0.0,1.0,0.9166666666666666,0.16666666666666666,0.0,0.08333333333333333,3.0416666666666665,0.0,3.0416666666666665,4.0,0.8,-0.014765145779329858,-0.016666666666667496,1.0,0.0,0.0,0.0,0.0
always_r1,5,27,0.3333333333333333,0.10416666666666667,0.0,1.4814814814814814,0.0,0.9259259259259259,0.8148148148148148,0.37037037037037035,0.07407407407407407,0.18518518518518517,3.1481481481481484,0.0,3.1481481481481484,4.0,0.8,-0.02977523052285511,0.39259259259259344,1.0,0.0,0.0,0.0,0.0
always_r5,1,24,0.3333333333333333,0.23423423423423426,0.0,0.6666666666666666,0.0,0.0,0.0,0.0,0.5416666666666666,0.625,1.0416666666666667,1.0416666666666667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
always_r5,2,28,0.3333333333333333,0.2608695652173913,0.0,0.5,0.0,0.0,0.0,0.0,0.6428571428571429,0.7142857142857143,0.7857142857142857,0.7857142857142857,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
always_r5,3,24,0.3333333333333333,0.19607843137254902,0.0,0.875,0.0,0.0,0.0,0.0,0.4166666666666667,0.5,1.4166666666666667,1.4166666666666667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
always_r5,4,24,0.3333333333333333,0.2222222222222222,0.0,0.5833333333333334,0.0,0.0,0.0,0.0,0.5,0.625,0.9583333333333334,0.9583333333333334,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
always_r5,5,27,0.3333333333333333,0.26666666666666666,0.0,0.5185185185185185,0.0,0.0,0.0,0.0,0.6666666666666666,0.7407407407407407,0.8518518518518519,0.8518518518518519,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
