candidate,feature,mean,std
legacy_full_retrospective,assembly_frac,0.09212006531294115,0.011631071929450364
legacy_full_retrospective,assembly_error,0.06131229069811517,0.009130556120111955
legacy_full_retrospective,total_length,0.054505177150352815,0.00732532822218132
legacy_full_retrospective,n50,0.051658211861583835,0.005055433274105225
legacy_full_retrospective,assembly_quality,0.05063759109744216,0.002229038383272615
legacy_full_retrospective,mean_edge_coverage,0.04658183583939121,0.00481590620645475
legacy_full_retrospective,align_err_consensus,0.045580006509415946,0.0046556834654999215
legacy_full_retrospective,busco_per_contig,0.04147000044911856,0.0017551665038505865
legacy_full_retrospective,error_rate,0.03902583804492389,0.0018880387511825078
legacy_full_retrospective,qv,0.038499487082987414,0.001580148601498693
legacy_full_retrospective,coverage_est,0.035919552499265,0.004399532800118658
legacy_full_retrospective,busco_complete,0.031357013249146484,0.0030055335338744194
legacy_full_retrospective,n50_fraction,0.030746139031090015,0.0046996095124559436
legacy_full_retrospective,completeness_score,0.030573454356610418,0.0027628962337674485
legacy_full_retrospective,busco_missing,0.028549298909437398,0.0030866716887011435
legacy_full_retrospective,num_contigs,0.027854652746857566,0.004984312324693798
legacy_full_retrospective,busco_fragmented,0.02423517292240671,0.0006770714619295475
legacy_full_retrospective,gain_cumulative,0.021434651055066034,0.0024436388993141437
legacy_full_retrospective,assembly_frac_from_r1,0.019770194523440223,0.0026843520074088566
legacy_full_retrospective,delta_qv_cumsum,0.019097726675002147,0.0030928403163580235
legacy_full_retrospective,error_rate_from_r1,0.0170860899811938,0.002320537029236681
legacy_full_retrospective,qv_from_r1,0.016705675784159702,0.0035768600612877716
legacy_full_retrospective,plateau_streak,0.016513956338671937,0.00327234118783566
legacy_full_retrospective,n50_from_r1,0.014444298605874258,0.0019363198720162979
legacy_full_retrospective,delta_assembly_error,0.014105693410058975,0.0015472291013163301
legacy_full_retrospective,delta_busco_complete_cumsum,0.013556578413085621,0.0010017168787690225
legacy_full_retrospective,busco_complete_from_r1,0.013203378398721433,0.001498410401322373
legacy_full_retrospective,r1_ok_group,0.010101240736114802,0.005880956133425716
legacy_full_retrospective,is_plateau,0.008808995377363217,0.0020663597731706814
legacy_full_retrospective,delta_n50,0.007102141057507558,0.0006503201386343372
legacy_full_retrospective,score_improvement,0.006966122295609056,0.001342926784146728
legacy_full_retrospective,cost_benefit_ratio,0.0069163305092760806,0.0010139514731156173
legacy_full_retrospective,polishing_effectiveness,0.006902685773089279,0.0006890684928606847
legacy_full_retrospective,qv_improvement_rate,0.006809649374461782,0.0011421015768452718
legacy_full_retrospective,score_improvement_trend,0.006788726364701755,0.0008751374272331483
legacy_full_retrospective,delta_qv,0.0064222217050437305,0.0011189566242181081
legacy_full_retrospective,delta_error_improvement,0.006195335474148103,0.0007489231503141632
legacy_full_retrospective,delta_error_rate,0.005802921515443363,0.0006632210454760568
legacy_full_retrospective,delta_qv_trend,0.0054723845807489535,0.0009566444019476211
legacy_full_retrospective,delta_busco_complete_trend,0.004951382069872556,0.0011248197799622393
legacy_full_retrospective,delta_busco_complete,0.0027206015957991743,0.00025540107522882647
legacy_full_retrospective,missingindicator_delta_qv_trend,0.0026110553001994436,0.0007715017204924412
