candidate,round,n_predictions,balanced_accuracy,macro_f1,min_class_recall,quadratic_weighted_kappa,multiclass_brier,log_loss,mean_confidence
legacy_full_retrospective,1,127,0.47344232279933446,0.46804162021553325,0.21212121212121213,0.3682874835042128,0.5485497410590667,0.939268275046595,0.6023938510720198
legacy_full_retrospective,2,127,0.5509040187546005,0.5477580305638363,0.24242424242424243,0.49156235747225463,0.4729900765231031,0.807315146440871,0.6115190781061308
legacy_full_retrospective,3,127,0.47874334279723135,0.480083857442348,0.2727272727272727,0.36174152250965463,0.49786055239879184,0.8595622430561518,0.611757709880626
legacy_full_retrospective,4,127,0.4406712563479251,0.4389960144677126,0.17391304347826086,0.2756389163101898,0.5029020795641606,0.8774512445828749,0.6076440683537365
legacy_full_retrospective,5,127,0.47435159927505305,0.47798742138364786,0.2608695652173913,0.3724390650158237,0.5126243972224306,0.8853494447721433,0.5950223730412743
light_core_prospective,1,127,0.35801369481712414,0.35314907190607076,0.17391304347826086,0.13413463966466355,0.6385910862723729,1.122908240600682,0.6375609298874493
light_core_prospective,2,127,0.37750437627963657,0.3735294117647059,0.17391304347826086,0.1745589600742805,0.6293646878330963,1.1008641954675202,0.6301161994328399
light_core_prospective,3,127,0.3681147049181342,0.3649885583524027,0.17391304347826086,0.13075901522116673,0.6274585806594256,1.0975923929039577,0.6278949260783698
light_core_prospective,4,127,0.3883167251201544,0.38808595702148924,0.17391304347826086,0.14101250256200049,0.6285034545627826,1.100582100719264,0.6300622925586423
light_core_prospective,5,127,0.3883167251201544,0.38808595702148924,0.17391304347826086,0.14101250256200049,0.6268026378250307,1.0993066212853821,0.6246245956715651
light_fasta_prospective,1,127,0.3813950899070311,0.3571231139309683,0.09090909090909091,0.18527656901888656,0.6462124365689599,1.0962358312565614,0.593094643304133
light_fasta_prospective,2,127,0.3331168389343527,0.32348583877995646,0.12121212121212122,0.08077591198610312,0.6523114346233095,1.0832082993482695,0.5875047852766829
light_fasta_prospective,3,127,0.42496613409044515,0.41592589026881893,0.18181818181818182,0.2252005572368737,0.6176761449065322,1.030587102291567,0.5807891005462463
light_fasta_prospective,4,127,0.3628136849202373,0.35439285439285434,0.15151515151515152,0.12694227328373675,0.6413616168553689,1.0655013887197013,0.5761855464414882
light_fasta_prospective,5,127,0.4115929657876995,0.40654921071264943,0.21212121212121213,0.15766534015539135,0.6327751891219404,1.0535920868338162,0.5774972907801045
r1_core_only,1,127,0.3615889451774326,0.3492031392941403,0.13043478260869565,0.15280383573066492,0.6121140199012428,1.0418842829437116,0.5740903645835174
