metric,tolerance,n_adjacent_changes,positive_fraction,zero_fraction,negative_fraction,median_change,p05_change,p95_change,absolute_change_exceeds_tolerance_fraction
qv,0.05,508,0.36023622047244097,0.0,0.639763779527559,-0.000822330892967571,-0.025619483303961132,0.007474398180434781,0.015748031496062992
busco_complete,1.0,508,0.31496062992125984,0.3720472440944882,0.31299212598425197,0.0,-2.6000000000000085,2.6000000000000014,0.2952755905511811
error_rate,0.0005,508,0.639763779527559,0.0,0.36023622047244097,1.0405000000001524e-05,-0.00011242599999999845,0.0004794409999999979,0.04921259842519685
assembly_error,0.01,508,0.5354330708661418,0.001968503937007874,0.4625984251968504,2.53968253970116e-06,-0.00018721428571437138,0.00029897142857148427,0.0
