candidate,stop_threshold,n_trajectories,balanced_accuracy,macro_f1,min_class_recall,class_mae,quadratic_weighted_kappa,unsafe_early_stop_rate,severe_unsafe_stop_rate,quality_failure_rate,exact_round_accuracy,within_one_round_rate,mean_absolute_round_error,mean_excess_rounds,mean_premature_rounds,mean_rounds_saved,compute_reduction_fraction,mean_qv_loss_vs_r5,mean_busco_loss_vs_r5,selected_r1_fraction,selected_r2_fraction,selected_r3_fraction,selected_r4_fraction,selected_r5_fraction
legacy_historical_leaky_binary,0.3,127,0.7951715563473064,0.7321413485096349,0.5633802816901409,0.31496062992125984,0.6861291319122644,0.2992125984251969,0.14173228346456693,0.08661417322834646,0.6850393700787402,0.84251968503937,0.5118110236220472,0.03937007874015748,0.47244094488188976,1.4330708661417322,0.2866141732283464,0.00012441233402579545,0.02440944881889762,0.007874015748031496,0.2125984251968504,0.2992125984251969,0.16535433070866143,0.31496062992125984
legacy_rebuilt_binary,0.3,127,0.6806831326120978,0.620043579282857,0.5492957746478874,0.4645669291338583,0.5194876236495418,0.36220472440944884,0.2125984251968504,0.10236220472440945,0.5826771653543307,0.7559055118110236,0.7559055118110236,0.10236220472440945,0.6535433070866141,1.5511811023622046,0.3102362204724409,0.0003560469064358958,0.03228346456692926,0.007874015748031496,0.2992125984251969,0.25984251968503935,0.10236220472440945,0.33070866141732286
light_core_binary,0.3,127,0.33901785769513876,0.32484963596074706,0.30303030303030304,0.8267716535433071,0.15714222083648832,0.5196850393700787,0.36220472440944884,0.13385826771653545,0.2992125984251969,0.5590551181102362,1.3228346456692914,0.29133858267716534,1.031496062992126,1.7401574803149606,0.3480314960629921,9.503110872789635e-05,0.11811023622047222,0.0,0.33070866141732286,0.3700787401574803,0.007874015748031496,0.29133858267716534
light_fasta_binary,0.3,127,0.3925785720029444,0.30600940833498974,0.14084507042253522,0.9448818897637795,0.052699854061942664,0.6535433070866141,0.44881889763779526,0.2047244094488189,0.2125984251968504,0.4881889763779528,1.5748031496062993,0.2125984251968504,1.3622047244094488,2.1496062992125986,0.4299212598425197,-0.0008518159498185754,0.2535433070866142,0.031496062992125984,0.4015748031496063,0.3700787401574803,0.07874015748031496,0.11811023622047244
quality_causal_binary,0.3,127,0.6316007595860628,0.5697290871341504,0.49295774647887325,0.5275590551181102,0.46626598581047496,0.3937007874015748,0.25984251968503935,0.11023622047244094,0.5275590551181102,0.6929133858267716,0.8818897637795275,0.14173228346456693,0.7401574803149606,1.5984251968503937,0.31968503937007875,0.0003285400041766233,0.04015748031496048,0.0,0.31496062992125984,0.29133858267716534,0.07086614173228346,0.3228346456692913
legacy_historical_leaky_binary,0.4,127,0.904575454483599,0.8749325236167341,0.8309859154929577,0.14173228346456693,0.842415468927722,0.11811023622047244,0.08661417322834646,0.07874015748031496,0.8661417322834646,0.8976377952755905,0.2677165354330709,0.03937007874015748,0.2283464566929134,1.188976377952756,0.2377952755905512,-3.392326901222501e-05,-0.029921259842519775,0.007874015748031496,0.1889763779527559,0.25196850393700787,0.08661417322834646,0.4645669291338583
legacy_rebuilt_binary,0.4,127,0.7298582889519816,0.7057018134482448,0.6086956521739131,0.33858267716535434,0.5801542740200452,0.1968503937007874,0.13385826771653545,0.08661417322834646,0.7165354330708661,0.8188976377952756,0.5433070866141733,0.16535433070866143,0.3779527559055118,1.2125984251968505,0.2425196850393701,0.0003494845599327166,0.025196850393700697,0.007874015748031496,0.18110236220472442,0.2755905511811024,0.08661417322834646,0.44881889763779526
light_core_binary,0.4,127,0.3399456908336272,0.34202732187765617,0.17391304347826086,0.6929133858267716,0.21676271357800014,0.33858267716535434,0.2047244094488189,0.07874015748031496,0.4094488188976378,0.6692913385826772,1.078740157480315,0.4645669291338583,0.6141732283464567,1.1496062992125984,0.22992125984251968,-0.0003585425382368752,0.10157480314960621,0.0,0.2047244094488189,0.25984251968503935,0.015748031496062992,0.5196850393700787
light_fasta_binary,0.4,127,0.3124694588258581,0.2936548800937739,0.21739130434782608,0.8267716535433071,0.07058701406550061,0.5354330708661418,0.3543307086614173,0.15748031496062992,0.25196850393700787,0.5354330708661418,1.3779527559055118,0.3937007874015748,0.984251968503937,1.5905511811023623,0.31811023622047246,-0.000627098896064382,0.15590551181102316,0.007874015748031496,0.2125984251968504,0.41732283464566927,0.08661417322834646,0.2755905511811024
quality_causal_binary,0.4,127,0.6945573308096272,0.6796364383486853,0.6521739130434783,0.3700787401574803,0.5638505838220531,0.2047244094488189,0.14173228346456693,0.07086614173228346,0.6771653543307087,0.8031496062992126,0.5984251968503937,0.2125984251968504,0.3858267716535433,1.1732283464566928,0.23464566929133857,-7.72649530878229e-06,-0.008661417322834881,0.0,0.18110236220472442,0.28346456692913385,0.06299212598425197,0.47244094488188976
