candidate,feature,mean,std
legacy_historical_leaky_binary,historical__plateau_streak,0.08888003021059529,0.0074739555403420515
legacy_historical_leaky_binary,historical__is_plateau,0.07036522649211296,0.011603153118255223
legacy_historical_leaky_binary,historical__assembly_frac,0.05230341914755852,0.014302374554766602
legacy_historical_leaky_binary,historical__assembly_error,0.027326382103001257,0.005155721688594017
legacy_historical_leaky_binary,missingindicator_historical__delta_busco_complete_trend,0.023983690591247327,0.0044938166271033305
legacy_historical_leaky_binary,missingindicator_historical__delta_qv_trend,0.02394387665289125,0.0034223609668428074
legacy_historical_leaky_binary,historical__qv_improvement_rate,0.023600561937698543,0.005872498255789744
legacy_historical_leaky_binary,historical__cost_benefit_ratio,0.02343972523199828,0.003233496367854323
legacy_historical_leaky_binary,historical__polishing_effectiveness,0.023224951049799797,0.0019117510984871953
legacy_historical_leaky_binary,historical__align_err_consensus,0.02182294491390682,0.001465571200478948
legacy_historical_leaky_binary,historical__score_improvement,0.020521986898808763,0.003110493108896944
legacy_historical_leaky_binary,historical__delta_qv,0.020426162616228,0.0061760736636615925
legacy_historical_leaky_binary,historical__total_length,0.020235667359693385,0.003841966694657954
legacy_historical_leaky_binary,historical__assembly_quality,0.01990528588413428,0.0014609005623714474
legacy_historical_leaky_binary,historical__busco_complete,0.019819122960748788,0.004757645017363292
legacy_historical_leaky_binary,historical__delta_qv_trend,0.018624739551165077,0.0020109194773751935
legacy_historical_leaky_binary,historical__delta_error_rate,0.017848388601992515,0.0031761260966973112
legacy_historical_leaky_binary,historical__n50,0.01784472839532558,0.004417650857566659
legacy_historical_leaky_binary,historical__error_rate_from_r1,0.017624216300569838,0.003491983226687657
legacy_historical_leaky_binary,historical__gain_cumulative,0.017515206303943633,0.0009608340936269066
legacy_historical_leaky_binary,historical__delta_error_improvement,0.01748264488103704,0.002718550583268751
legacy_historical_leaky_binary,historical__assembly_frac_from_r1,0.017379883910731652,0.004064632999659593
legacy_historical_leaky_binary,historical__n50_from_r1,0.017146623504036704,0.005400432488250237
legacy_historical_leaky_binary,historical__score_improvement_trend,0.016705199633825645,0.0013270446174191576
legacy_historical_leaky_binary,historical__mean_edge_coverage,0.01650411486414949,0.003287300323553543
legacy_historical_leaky_binary,historical__delta_busco_complete_trend,0.016376361786367966,0.0014908852617848444
legacy_historical_leaky_binary,historical__completeness_score,0.01590237750230595,0.0024722024951165174
legacy_historical_leaky_binary,historical__busco_per_contig,0.01587943605700967,0.002312870420850353
legacy_historical_leaky_binary,historical__error_rate,0.015468610441999273,0.0021863886275409437
legacy_historical_leaky_binary,historical__qv_from_r1,0.015459004673117182,0.0043041809328957965
legacy_historical_leaky_binary,historical__qv,0.01534485605934088,0.0016352170240039865
legacy_historical_leaky_binary,historical__busco_missing,0.014486939674249456,0.00391366510081579
legacy_historical_leaky_binary,historical__busco_fragmented,0.013968427534771394,0.001583036126041316
legacy_historical_leaky_binary,historical__delta_qv_cumsum,0.01312750359570353,0.0021781953851787716
legacy_historical_leaky_binary,historical__delta_assembly_error,0.012771173219370857,0.0034926489038208048
legacy_historical_leaky_binary,missingindicator_historical__delta_qv_cumsum,0.011615749504510784,0.001890135374764085
legacy_historical_leaky_binary,historical__coverage_est,0.011606352609359221,0.0023639045849458036
legacy_historical_leaky_binary,historical__num_contigs,0.01135669852079795,0.0021784841934386913
legacy_historical_leaky_binary,historical__r1_ok_group,0.010961691744907054,0.0062858698572373535
legacy_historical_leaky_binary,historical__delta_n50,0.010875184689244465,0.0014641149985075374
legacy_historical_leaky_binary,historical__delta_busco_complete,0.010735593547615137,0.0017556394287593009
legacy_historical_leaky_binary,missingindicator_historical__delta_busco_complete_cumsum,0.01064282702709723,0.0015795934666550852
legacy_historical_leaky_binary,missingindicator_historical__delta_num_contigs,0.010504209153665229,0.0022949395164573805
legacy_historical_leaky_binary,missingindicator_historical__delta_busco_complete,0.010450316145033549,0.00186292836391673
legacy_historical_leaky_binary,historical__n50_fraction,0.01040928024852753,0.0015493414209702815
legacy_historical_leaky_binary,missingindicator_historical__delta_error_rate,0.010347406966973524,0.002942177053049077
legacy_historical_leaky_binary,missingindicator_historical__score_improvement_trend,0.01031948453884872,0.0008359244551484764
legacy_historical_leaky_binary,missingindicator_historical__delta_assembly_error,0.010100902952709498,0.0025244180218231163
legacy_historical_leaky_binary,missingindicator_historical__delta_error_improvement,0.009988139159964566,0.0008439213807435991
legacy_historical_leaky_binary,missingindicator_historical__delta_qv,0.00974703673967953,0.0020922196289465825
legacy_historical_leaky_binary,missingindicator_historical__qv_improvement_rate,0.009707422347320251,0.0011832817263216847
legacy_historical_leaky_binary,missingindicator_historical__delta_n50,0.009606842317699042,0.0013419974593824751
