candidate,round,n_predictions,stop_eligible_fraction,roc_auc,average_precision,balanced_accuracy_at_0_5,stop_recall_at_0_5,continue_recall_at_0_5,f1_stop_at_0_5,brier,log_loss
legacy_historical_leaky_binary,1,127,0.023622047244094488,0.9623655913978494,0.5380952380952381,0.5,0.0,1.0,0.0,0.01752356601958738,0.06789884873070393
legacy_historical_leaky_binary,2,127,0.18110236220472442,0.9824414715719063,0.9536780258519387,0.9347826086956521,0.8695652173913043,1.0,0.9302325581395349,0.04244953661977563,0.18674566738335097
legacy_historical_leaky_binary,3,127,0.3543307086614173,0.8720867208672086,0.8455284358224189,0.7523035230352304,0.5777777777777777,0.926829268292683,0.6753246753246753,0.12875417575150766,0.4170833472746877
legacy_historical_leaky_binary,4,127,0.4409448818897638,0.8352615694164989,0.8370321292000095,0.732645875251509,0.5357142857142857,0.9295774647887324,0.6593406593406593,0.16508462762871567,0.5063465389062607
legacy_rebuilt_binary,1,127,0.023622047244094488,0.9462365591397849,0.47549019607843135,0.5,0.0,1.0,0.0,0.018234253699739206,0.07233626502623738
legacy_rebuilt_binary,2,127,0.18110236220472442,0.9017558528428093,0.6711954037852197,0.6981605351170569,0.43478260869565216,0.9615384615384616,0.5405405405405406,0.10153421933895246,0.33795143102636216
legacy_rebuilt_binary,3,127,0.3543307086614173,0.8295392953929539,0.7937920083621439,0.7350948509485096,0.5555555555555556,0.9146341463414634,0.6493506493506493,0.15281517661736327,0.47874621849145
legacy_rebuilt_binary,4,127,0.4409448818897638,0.8143863179074446,0.7911137367109896,0.6955482897384306,0.5178571428571429,0.8732394366197183,0.6170212765957447,0.179214550174438,0.5405198004980221
light_core_binary,1,127,0.023622047244094488,0.4865591397849462,0.03609086819613135,0.5,0.0,1.0,0.0,0.026719662772506658,0.1389532505147353
light_core_binary,2,127,0.18110236220472442,0.532608695652174,0.1902915351057274,0.461747491638796,0.08695652173913043,0.8365384615384616,0.09523809523809523,0.18137857161925333,0.5417548883048692
light_core_binary,3,127,0.3543307086614173,0.6704607046070461,0.504278874241367,0.5808943089430894,0.4666666666666667,0.6951219512195121,0.46153846153846156,0.21966663945695714,0.6305315670050057
light_core_binary,4,127,0.4409448818897638,0.6732897384305835,0.6096030065062713,0.6002263581488934,0.48214285714285715,0.7183098591549296,0.5242718446601942,0.23186884574886235,0.6620663235943619
light_fasta_binary,1,127,0.023622047244094488,0.3978494623655914,0.02496229979205359,0.5,0.0,1.0,0.0,0.031192202346738456,0.17677011808371268
light_fasta_binary,2,127,0.18110236220472442,0.4820234113712375,0.17757356351777753,0.4592391304347826,0.043478260869565216,0.875,0.05405405405405406,0.18712489612138228,0.5776147800210565
light_fasta_binary,3,127,0.3543307086614173,0.5747967479674796,0.44514584180771344,0.5747967479674797,0.4666666666666667,0.6829268292682927,0.45652173913043476,0.2462818078106055,0.6900826274313767
light_fasta_binary,4,127,0.4409448818897638,0.567907444668008,0.5490556110338716,0.545774647887324,0.5,0.5915492957746479,0.49557522123893805,0.25657029287436045,0.7087612095941105
quality_causal_binary,1,127,0.023622047244094488,0.8682795698924731,0.3969924812030075,0.5,0.0,1.0,0.0,0.021325700102314035,0.0915639477300228
quality_causal_binary,2,127,0.18110236220472442,0.9096989966555183,0.6529533601192122,0.7150919732441472,0.4782608695652174,0.9519230769230769,0.5641025641025641,0.10070506408599085,0.3358786633063453
quality_causal_binary,3,127,0.3543307086614173,0.8176151761517616,0.6929269481572823,0.6734417344173442,0.4444444444444444,0.9024390243902439,0.547945205479452,0.17058502439766587,0.5203471850678613
quality_causal_binary,4,127,0.4409448818897638,0.7472334004024145,0.652231162442229,0.6227364185110664,0.42857142857142855,0.8169014084507042,0.5161290322580645,0.2083115396417902,0.6059829028718239
