model,accuracy,balanced_accuracy,macro_f1,mae,accuracy_pm1,qwk,precision_class_1,recall_class_1,f1_class_1,support_class_1,precision_class_2,recall_class_2,f1_class_2,support_class_2,precision_class_3,recall_class_3,f1_class_3,support_class_3,meets_targets
XGBoost,0.5941176470588235,0.5888888888888889,0.5596861268047709,0.5529411764705883,0.8529411764705882,0.47613952493045153,0.4931506849315068,0.8,0.6101694915254238,45,0.3783783783783784,0.4,0.3888888888888889,35,0.85,0.5666666666666667,0.68,90,False
Random Forest,0.6294117647058823,0.5915343915343915,0.5678545252185243,0.4823529411764706,0.888235294117647,0.5610071013557134,0.5441176470588235,0.8222222222222222,0.6548672566371682,45,0.3448275862068966,0.2857142857142857,0.3125,35,0.821917808219178,0.6666666666666666,0.7361963190184049,90,False
Ordinal Regression,0.5235294117647059,0.5322751322751323,0.5088856951231197,0.5764705882352941,0.9,0.45810190775175075,0.509090909090909,0.6222222222222222,0.56,45,0.2698412698412698,0.4857142857142857,0.3469387755102041,35,0.8461538461538461,0.4888888888888889,0.6197183098591549,90,False
Ensemble,0.5941176470588235,0.5772486772486772,0.5510339123242348,0.5705882352941176,0.8352941176470589,0.45414480587618045,0.48,0.8,0.6,45,0.4,0.34285714285714286,0.36923076923076925,35,0.8153846153846154,0.5888888888888889,0.6838709677419355,90,False
