Strategy,Avg_CPU_Hours,Avg_QV,Avg_BUSCO,Avg_Efficiency
Always R5 (Baseline),1.342,12.391855880408672,75.73529411764704,9.233871743970694
ESDP,0.7420470588235294,12.395634296938573,76.24411764705883,27.913856529797837
Always R1,0.2684,12.412865270016,76.90588235294118,46.247635134187774
Random,0.5367999999999999,12.406473759947847,76.54411764705881,34.154605718879495
