model,accuracy,balanced_accuracy,macro_f1,mae,accuracy_pm1,qwk,precision_class_1,recall_class_1,f1_class_1,support_class_1,precision_class_2,recall_class_2,f1_class_2,support_class_2,precision_class_3,recall_class_3,f1_class_3,support_class_3,meets_targets
Best_Model,0.6294117647058823,0.5915343915343915,0.5678545252185243,0.4823529411764706,0.888235294117647,0.5610071013557134,0.5441176470588235,0.8222222222222222,0.6548672566371682,45,0.3448275862068966,0.2857142857142857,0.3125,35,0.821917808219178,0.6666666666666666,0.7361963190184049,90,False
Baseline_Always_Late,0.5294117647058824,0.3333333333333333,0.23076923076923075,0.7352941176470589,0.7352941176470589,0.0,0.0,0.0,0.0,45,0.0,0.0,0.0,35,0.5294117647058824,1.0,0.6923076923076923,90,False
Baseline_QV_Threshold_30,0.5294117647058824,0.3333333333333333,0.23076923076923075,0.7352941176470589,0.7352941176470589,0.0,0.0,0.0,0.0,45,0.0,0.0,0.0,35,0.5294117647058824,1.0,0.6923076923076923,90,False
Baseline_R1_Only_RF,0.6294117647058823,0.5661375661375662,0.570817573814584,0.4647058823529412,0.9058823529411765,0.5382921458282359,0.675,0.6,0.6352941176470588,45,0.3333333333333333,0.34285714285714286,0.3380281690140845,35,0.723404255319149,0.7555555555555555,0.7391304347826086,90,False
