candidate,feature,mean,std
legacy_historical_leaky_material,historical__mean_edge_coverage,0.08150709537961534,0.018338362532210387
legacy_historical_leaky_material,historical__coverage_est,0.06371786164062825,0.0152948977730585
legacy_historical_leaky_material,historical__n50,0.056220205309834605,0.016622388563893736
legacy_historical_leaky_material,historical__total_length,0.04903638800458958,0.011404672502031579
legacy_historical_leaky_material,historical__assembly_frac,0.03925689690045396,0.006870077854670511
legacy_historical_leaky_material,historical__assembly_error,0.03518126889448879,0.005374459694210626
legacy_historical_leaky_material,historical__align_err_consensus,0.033827797052321903,0.004549080370059491
legacy_historical_leaky_material,historical__assembly_quality,0.031153680042589126,0.005084726498635838
legacy_historical_leaky_material,historical__completeness_score,0.028836792967331493,0.008443619430321134
legacy_historical_leaky_material,historical__delta_qv_trend,0.02799852696005171,0.008877197249171962
legacy_historical_leaky_material,historical__qv,0.027130659820713787,0.0020103140675435172
legacy_historical_leaky_material,historical__error_rate,0.02675579081850764,0.0014899087934436477
legacy_historical_leaky_material,historical__busco_complete,0.025539851442541082,0.006222503835081861
legacy_historical_leaky_material,historical__busco_fragmented,0.02498762459711395,0.0067191294941215856
legacy_historical_leaky_material,historical__busco_per_contig,0.02281987980659784,0.0033917364181435873
legacy_historical_leaky_material,historical__n50_fraction,0.020905301986552716,0.0014237109314782065
legacy_historical_leaky_material,historical__busco_missing,0.01993387296220605,0.007449021536487825
legacy_historical_leaky_material,historical__gain_cumulative,0.01988811282516843,0.003160158884494328
legacy_historical_leaky_material,historical__qv_improvement_rate,0.0190316874858988,0.004811440219463333
legacy_historical_leaky_material,historical__assembly_frac_from_r1,0.01825134020031712,0.005759543924848961
legacy_historical_leaky_material,historical__delta_qv,0.01752913330927675,0.006416379869471943
legacy_historical_leaky_material,historical__delta_qv_cumsum,0.01720606101437689,0.002312309593691722
legacy_historical_leaky_material,historical__plateau_streak,0.01649895274167943,0.009666764622115995
legacy_historical_leaky_material,historical__delta_error_rate,0.015989346890966212,0.005041936774861074
legacy_historical_leaky_material,historical__delta_error_improvement,0.014543916044932687,0.004185904752452307
legacy_historical_leaky_material,missingindicator_historical__delta_busco_complete_trend,0.014471282589425403,0.003991624987623291
legacy_historical_leaky_material,historical__score_improvement_trend,0.014150956488135252,0.002645754053305006
legacy_historical_leaky_material,missingindicator_historical__delta_qv_trend,0.013973703959275652,0.002726669896866976
legacy_historical_leaky_material,historical__n50_from_r1,0.01390791749638281,0.0012880694125028765
legacy_historical_leaky_material,historical__qv_from_r1,0.013222775888889076,0.0025356490654733915
legacy_historical_leaky_material,historical__is_plateau,0.0131554829261299,0.008179123311390469
legacy_historical_leaky_material,historical__error_rate_from_r1,0.012512913782518866,0.0006175933118742968
legacy_historical_leaky_material,historical__score_improvement,0.012024308634470189,0.003230788979232268
legacy_historical_leaky_material,historical__num_contigs,0.011870127157639184,0.0004617813122368391
legacy_historical_leaky_material,historical__delta_n50,0.011591872989504499,0.0023400797325099087
legacy_historical_leaky_material,historical__delta_busco_complete_cumsum,0.011380126326531447,0.001695638553138755
legacy_historical_leaky_material,historical__busco_complete_from_r1,0.011298354301001502,0.0011092583753651538
legacy_historical_leaky_material,historical__delta_assembly_error,0.01094917995261257,0.0006671915462122495
legacy_historical_leaky_material,historical__cost_benefit_ratio,0.010894571565492932,0.001809289486188435
legacy_historical_leaky_material,historical__polishing_effectiveness,0.010837225075917525,0.0026597764402495365
legacy_historical_leaky_material,historical__delta_busco_complete_trend,0.0065714817543647665,0.0010644981047619212
legacy_historical_leaky_material,historical__delta_busco_complete,0.004951791846031831,0.0011531586928409407
legacy_historical_leaky_material,missingindicator_historical__delta_error_rate,0.004839213599450246,0.0012408643574927409
legacy_historical_leaky_material,missingindicator_historical__delta_assembly_error,0.004786452447345327,0.0014939975719142375
legacy_historical_leaky_material,missingindicator_historical__delta_busco_complete,0.004719326720971457,0.0009203576190690609
legacy_historical_leaky_material,missingindicator_historical__delta_qv_cumsum,0.0045744556024105,0.0009034359588691146
legacy_historical_leaky_material,missingindicator_historical__delta_n50,0.004379911039741446,0.0015418812482935948
legacy_historical_leaky_material,missingindicator_historical__delta_busco_complete_cumsum,0.004364195262381232,0.0011441865238422972
legacy_historical_leaky_material,missingindicator_historical__qv_improvement_rate,0.0043003143609089255,0.0003378351232730457
legacy_historical_leaky_material,missingindicator_historical__delta_num_contigs,0.0042501436113365895,0.0012787994996104862
legacy_historical_leaky_material,missingindicator_historical__delta_error_improvement,0.004088552331838483,0.001656090496612876
legacy_historical_leaky_material,missingindicator_historical__delta_qv,0.003997451104489091,0.0015544292676740418
