candidate,stop_threshold,n_trajectories,balanced_accuracy,macro_f1,min_class_recall,class_mae,quadratic_weighted_kappa,unsafe_early_stop_rate,severe_unsafe_stop_rate,quality_failure_rate,exact_round_accuracy,within_one_round_rate,mean_absolute_round_error,mean_excess_rounds,mean_premature_rounds,mean_rounds_saved,compute_reduction_fraction,mean_qv_loss_vs_r5,mean_busco_loss_vs_r5,selected_r1_fraction,selected_r2_fraction,selected_r3_fraction,selected_r4_fraction,selected_r5_fraction
legacy_historical_leaky_material,0.3,127,0.3333333333333333,0.3017241379310345,0.0,0.2125984251968504,0.0,0.28346456692913385,0.16535433070866143,0.2125984251968504,0.6614173228346457,0.8346456692913385,0.6141732283464567,0.05511811023622047,0.5590551181102362,3.8897637795275593,0.7779527559055118,-0.016199355635461214,-0.05118110236220492,0.889763779527559,0.11023622047244094,0.0,0.0,0.0
legacy_rebuilt_material,0.3,127,0.3333333333333333,0.3017241379310345,0.0,0.2125984251968504,0.0,0.28346456692913385,0.16535433070866143,0.2125984251968504,0.6692913385826772,0.8346456692913385,0.6062992125984252,0.047244094488188976,0.5590551181102362,3.8976377952755907,0.7795275590551182,-0.01623014450907674,-0.05118110236220492,0.8976377952755905,0.10236220472440945,0.0,0.0,0.0
light_core_material,0.3,127,0.3402427637721755,0.32823813354786807,0.0,0.23622047244094488,0.07027818448023415,0.28346456692913385,0.15748031496062992,0.2204724409448819,0.6456692913385826,0.8267716535433071,0.6299212598425197,0.10236220472440945,0.5275590551181102,3.811023622047244,0.7622047244094488,-0.01605091316133036,-0.025196850393701314,0.8740157480314961,0.07874015748031496,0.03937007874015748,0.0,0.007874015748031496
light_fasta_material,0.3,127,0.3333333333333333,0.3017241379310345,0.0,0.2125984251968504,0.0,0.28346456692913385,0.1732283464566929,0.2047244094488189,0.6141732283464567,0.8267716535433071,0.6614173228346457,0.10236220472440945,0.5590551181102362,3.84251968503937,0.768503937007874,-0.015234807394911622,-0.0842519685039373,0.84251968503937,0.15748031496062992,0.0,0.0,0.0
quality_causal_material,0.3,127,0.35294117647058826,0.34006734006734,0.0,0.2047244094488189,0.04191114836546517,0.28346456692913385,0.15748031496062992,0.2125984251968504,0.6692913385826772,0.84251968503937,0.5984251968503937,0.047244094488188976,0.5511811023622047,3.8897637795275593,0.7779527559055118,-0.016337844702809707,-0.05196850393700822,0.8976377952755905,0.09448818897637795,0.007874015748031496,0.0,0.0
legacy_historical_leaky_material,0.4,127,0.35294117647058826,0.34006734006734,0.0,0.2047244094488189,0.04191114836546517,0.2755905511811024,0.14960629921259844,0.2204724409448819,0.6377952755905512,0.8503937007874016,0.6062992125984252,0.08661417322834646,0.5196850393700787,3.8188976377952755,0.7637795275590551,-0.014732668475834623,0.02362204724409415,0.8267716535433071,0.16535433070866143,0.007874015748031496,0.0,0.0
legacy_rebuilt_material,0.4,127,0.35294117647058826,0.34006734006734,0.0,0.2047244094488189,0.04191114836546517,0.2755905511811024,0.15748031496062992,0.2204724409448819,0.6377952755905512,0.84251968503937,0.6141732283464567,0.08661417322834646,0.5275590551181102,3.826771653543307,0.7653543307086614,-0.014783940406939856,0.02362204724409415,0.8346456692913385,0.15748031496062992,0.007874015748031496,0.0,0.0
light_core_material,0.4,127,0.33706816059757233,0.326966966966967,0.0,0.2283464566929134,0.2692750287686996,0.2677165354330709,0.15748031496062992,0.1968503937007874,0.5905511811023622,0.8031496062992126,0.6929133858267716,0.2047244094488189,0.4881889763779528,3.6692913385826773,0.7338582677165355,-0.01504333635828995,-0.06456692913385885,0.7952755905511811,0.12598425196850394,0.047244094488188976,0.015748031496062992,0.015748031496062992
light_fasta_material,0.4,127,0.3333333333333333,0.3017241379310345,0.0,0.2125984251968504,0.0,0.2755905511811024,0.16535433070866143,0.1968503937007874,0.5669291338582677,0.8346456692913385,0.6771653543307087,0.15748031496062992,0.5196850393700787,3.748031496062992,0.7496062992125985,-0.013773588816182854,-0.09055118110236263,0.7480314960629921,0.25196850393700787,0.0,0.0,0.0
quality_causal_material,0.4,127,0.3465919701213818,0.3329156223893066,0.0,0.2125984251968504,0.10939691444600286,0.2755905511811024,0.15748031496062992,0.2125984251968504,0.6062992125984252,0.8267716535433071,0.6614173228346457,0.13385826771653545,0.5275590551181102,3.779527559055118,0.7559055118110236,-0.014995637562824305,-0.003149606299213119,0.8188976377952756,0.14960629921259844,0.023622047244094488,0.007874015748031496,0.0
legacy_historical_leaky_material,0.5,127,0.3465919701213818,0.3329156223893066,0.0,0.2125984251968504,0.10939691444600286,0.23622047244094488,0.13385826771653545,0.1968503937007874,0.6141732283464567,0.8503937007874016,0.6299212598425197,0.1732283464566929,0.4566929133858268,3.6692913385826773,0.7338582677165355,-0.012107754880586545,-0.007874015748031916,0.7165354330708661,0.25196850393700787,0.015748031496062992,0.015748031496062992,0.0
