candidate,round,n_predictions,stop_eligible_fraction,roc_auc,average_precision,balanced_accuracy_at_0_5,stop_recall_at_0_5,continue_recall_at_0_5,f1_stop_at_0_5,brier,log_loss
legacy_historical_leaky_material,1,127,0.6929133858267716,0.7001748251748251,0.8294405953310585,0.6284965034965035,0.7954545454545454,0.46153846153846156,0.7821229050279329,0.20224066537587376,0.5906218048084818
legacy_historical_leaky_material,2,127,0.8267716535433071,0.5796536796536796,0.8621326288892996,0.5359307359307359,0.9809523809523809,0.09090909090909091,0.9035087719298246,0.14817204533015346,0.4936618417661908
legacy_historical_leaky_material,3,127,0.905511811023622,0.5956521739130436,0.9395785136491861,0.48695652173913045,0.9739130434782609,0.0,0.9372384937238494,0.0931289427573964,0.3312541051266494
legacy_historical_leaky_material,4,127,0.9606299212598425,0.6360655737704918,0.9796473966996355,0.5,1.0,0.0,0.9799196787148594,0.044976223927198605,0.18702094612509684
legacy_rebuilt_material,1,127,0.6929133858267716,0.7019230769230769,0.834890164545001,0.6028554778554778,0.7954545454545454,0.41025641025641024,0.7734806629834254,0.2015788848180463,0.5887944219146826
legacy_rebuilt_material,2,127,0.8267716535433071,0.5675324675324676,0.8566877823215859,0.5586580086580086,0.9809523809523809,0.13636363636363635,0.9074889867841409,0.1491993703777049,0.49614381969648885
legacy_rebuilt_material,3,127,0.905511811023622,0.572463768115942,0.9283370045762112,0.49130434782608695,0.9826086956521739,0.0,0.9416666666666667,0.09402763231751173,0.33926422641070714
legacy_rebuilt_material,4,127,0.9606299212598425,0.6081967213114754,0.9781869079150199,0.5,1.0,0.0,0.9799196787148594,0.04510112730294214,0.18819540567779677
light_core_material,1,127,0.6929133858267716,0.6848776223776223,0.8019518479220612,0.5643939393939393,0.7954545454545454,0.3333333333333333,0.7608695652173914,0.21352112546313906,0.6483017747642578
light_core_material,2,127,0.8267716535433071,0.6428571428571429,0.8685468680346975,0.5887445887445888,0.9047619047619048,0.2727272727272727,0.8796296296296297,0.15564707516016582,0.5176487786597346
light_core_material,3,127,0.905511811023622,0.7166666666666667,0.9601650900156842,0.6032608695652174,0.9565217391304348,0.25,0.9401709401709402,0.08661561938075742,0.2962949044569212
light_core_material,4,127,0.9606299212598425,0.760655737704918,0.9874240215061438,0.48360655737704916,0.9672131147540983,0.0,0.963265306122449,0.05616397847664097,0.20646071719017983
light_fasta_material,1,127,0.6929133858267716,0.6260198135198135,0.8121864689350564,0.6002331002331003,0.6363636363636364,0.5641025641025641,0.6956521739130435,0.240933505166851,0.6832207755179068
light_fasta_material,2,127,0.8267716535433071,0.5696969696969697,0.8650536665222008,0.5158008658008658,0.8952380952380953,0.13636363636363635,0.8623853211009175,0.16340522890299605,0.5054609526614141
light_fasta_material,3,127,0.905511811023622,0.6043478260869566,0.9260896796492062,0.5,1.0,0.0,0.9504132231404959,0.09002401672236415,0.3318657074493548
light_fasta_material,4,127,0.9606299212598425,0.6196721311475409,0.9751212453233644,0.5,1.0,0.0,0.9799196787148594,0.050468787328678155,0.20728665742025593
quality_causal_material,1,127,0.6929133858267716,0.6995920745920746,0.8241317441986377,0.5957167832167832,0.8068181818181818,0.38461538461538464,0.7759562841530054,0.2053283807511221,0.6155717257543216
quality_causal_material,2,127,0.8267716535433071,0.5948051948051948,0.8553099821020094,0.5850649350649351,0.9428571428571428,0.22727272727272727,0.8959276018099548,0.14783470222954556,0.49521414234834793
quality_causal_material,3,127,0.905511811023622,0.6442028985507247,0.9473913904968407,0.4826086956521739,0.9652173913043478,0.0,0.9327731092436975,0.09621983237288341,0.32919732208852237
quality_causal_material,4,127,0.9606299212598425,0.660655737704918,0.9818015804697603,0.4959016393442623,0.9918032786885246,0.0,0.9758064516129032,0.048457659707684786,0.19505977337196667
